Word,Translation,Meaning,Example Sentence,Tag,Dialouge,StartTime,EndTime
issue,موضوع,"{'Noun': ['an important question that is in dispute and must be settled', 'one of a series published periodically', 'some situation or event that is thought about', 'the act of providing an item for general use or for official purposes (usually in quantity', 'supplies (as food or clothing or ammunition', 'the income or profit arising from such transactions as the sale of land or other property', 'a phenomenon that follows and is caused by some previous phenomenon', 'the immediate descendants of a person', 'the becoming visible', 'an opening that permits escape or release', 'the act of issuing printed materials'], 'Verb': ['prepare and issue for public distribution or sale', 'circulate or distribute or equip with', 'bring out an official document (such as a warrant', 'come out of', 'make out and issue']}","['the issue could be settled by requiring public education for everyone', 'politicians never discuss the real issues']","season 1 , The One Where It All Began (Pilot)",- Who wasn't invited to the wedding. - I hoped that wouldn't be an issue.,"00:05:53,786","00:05:59,156"
guess,حدس بزن,"{'Noun': ['a message expressing an opinion based on incomplete evidence', 'an estimate based on little or no information'], 'Verb': ['expect, believe, or suppose', 'put forward, of a guess, in spite of possible refutation', 'judge tentatively or form an estimate of (quantities or time', 'guess correctly; solve by guessing']}",N/A,"season 1 , The One Where It All Began (Pilot)","I guess he bought her the pipe organ, and she's really not happy about it.","00:06:15,641","00:06:20,544"
bought,خرید,"{'Verb': ['obtain by purchase; acquire by means of a financial transaction', 'make illegal payments to in exchange for favors or influence', 'be worth or be capable of buying', 'acquire by trade or sacrifice or exchange', 'accept as true']}","['The family purchased a new car', 'The conglomerate acquired a new company', 'She buys for the big department store']","season 1 , The One Where It All Began (Pilot)","I guess he bought her the pipe organ, and she's really not happy about it.","00:06:15,641","00:06:20,544"
pipe,لوله,"{'Noun': ['a tube with a small bowl at one end; used for smoking tobacco', 'a long tube made of metal or plastic that is used to carry water or oil or gas etc.', 'a hollow cylindrical shape', 'a tubular wind instrument', 'the flues and stops on a pipe organ'], 'Verb': ['utter a shrill cry', 'transport by pipeline', 'play on a pipe', 'trim with piping']}",N/A,"season 1 , The One Where It All Began (Pilot)","I guess he bought her the pipe organ, and she's really not happy about it.","00:06:15,641","00:06:20,544"
organ,عضو,"{'Noun': ['a fully differentiated structural and functional unit in an animal that is specialized for some particular function', 'a government agency or instrument devoted to the performance of some specific function', '(music', 'a periodical that is published by a special interest group', 'wind instrument whose sound is produced by means of pipes arranged in sets supplied with air from a bellows and controlled from a large complex musical keyboard', 'a free-reeded instrument with a piano keyboard in which air is forced through the reeds by bellows']}",['The Census Bureau is an organ of the Commerce Department'],"season 1 , The One Where It All Began (Pilot)","I guess he bought her the pipe organ, and she's really not happy about it.","00:06:15,641","00:06:20,544"
shes,او,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","I guess he bought her the pipe organ, and she's really not happy about it.","00:06:15,641","00:06:20,544"
happy,خوشحال,"{'Adjective': ['enjoying or showing or marked by joy or pleasure', 'marked by good fortune', 'eagerly disposed to act or to be of service', 'well expressed and to the point']}","['a happy smile', 'spent many happy days on the beach', 'a happy marriage']","season 1 , The One Where It All Began (Pilot)","I guess he bought her the pipe organ, and she's really not happy about it.","00:06:15,641","00:06:20,544"
tuna,ماهی تن,"{'Noun': ['tropical American prickly pear of Jamaica', 'important warm-water fatty fish of the genus Thunnus of the family Scombridae; usually served as steaks', 'any very large marine food and game fish of the genus Thunnus; related to mackerel; chiefly of warm waters', 'New Zealand eel']}",N/A,"season 1 , The One Where It All Began (Pilot)","""Tuna or egg salad! Decide!""","00:06:21,180","00:06:23,774"
egg,تخم مرغ,"{'Noun': ['animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds', 'oval reproductive body of a fowl (especially a hen', 'one of the two male reproductive glands that produce spermatozoa and secrete androgens'], 'Verb': ['throw eggs at', 'coat with beaten egg']}",N/A,"season 1 , The One Where It All Began (Pilot)","""Tuna or egg salad! Decide!""","00:06:21,180","00:06:23,774"
salad,سالاد,{'Noun': ['food mixtures either arranged on a plate or tossed and served with a moist dressing; usually consisting of or including greens']},N/A,"season 1 , The One Where It All Began (Pilot)","""Tuna or egg salad! Decide!""","00:06:21,180","00:06:23,774"
decide,تصميم گرفتن,"{'Verb': ['reach, make, or come to a decision about something', 'bring to an end; settle conclusively', 'cause to decide', 'influence or determine']}",['We finally decided after lengthy deliberations'],"season 1 , The One Where It All Began (Pilot)","""Tuna or egg salad! Decide!""","00:06:21,180","00:06:23,774"
ill,بیمار,"{'Noun': ['an often persistent bodily disorder or disease; a cause for complaining'], 'Adjective': ['affected by an impairment of normal physical or mental function', 'resulting in suffering or adversity', 'distressing', 'indicating hostility or enmity', 'presaging ill fortune'], 'Adverb': [""(`ill' is often used as a combining form"", 'unfavorably or with disapproval', 'with difficulty or inconvenience; scarcely or hardly']}",['ill from the monotony of his suffering'],"season 1 , The One Where It All Began (Pilot)","""I'll have whatever Christina's having.""","00:06:25,318","00:06:30,017"
christinas,مال کریستینا,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","""I'll have whatever Christina's having.""","00:06:25,318","00:06:30,017"
daddy,بابا,{'Noun': ['an informal term for a father; probably derived from baby talk']},N/A,"season 1 , The One Where It All Began (Pilot)","Daddy, I just I can't marry him.","00:06:30,223","00:06:33,522"
marry,ازدواج کن,"{'Verb': ['take in marriage', 'perform a marriage ceremony']}","['The minister married us on Saturday', 'We were wed the following week', 'The couple got spliced on Hawaii']","season 1 , The One Where It All Began (Pilot)","Daddy, I just I can't marry him.","00:06:30,223","00:06:33,522"
im,من هستم,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",I'm sorry. I just don't love him.,"00:06:34,026","00:06:38,929"
sorry,متاسف,"{'Adjective': ['feeling or expressing regret or sorrow or a sense of loss over something done or undone', 'bad; unfortunate', 'without merit; of little or no value or use', 'causing dejection']}","['felt regretful over his vanished youth', 'regretful over mistakes she had made', 'he felt bad about breaking the vase']","season 1 , The One Where It All Began (Pilot)",I'm sorry. I just don't love him.,"00:06:34,026","00:06:38,929"
dont,نکن,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",I'm sorry. I just don't love him.,"00:06:34,026","00:06:38,929"
love,عشق,"{'Noun': ['a strong positive emotion of regard and affection', 'any object of warm affection or devotion', 'a beloved person; used as terms of endearment', 'a deep feeling of sexual desire and attraction', 'a score of zero in tennis or squash', 'sexual activities (often including sexual intercourse'], 'Verb': ['have a great affection or liking for', 'get pleasure from', 'be enamored or in love with', 'have sexual intercourse with']}","['his love for his work', 'children need a lot of love']","season 1 , The One Where It All Began (Pilot)",I'm sorry. I just don't love him.,"00:06:34,026","00:06:38,929"
matters,مسائل,"{'Noun': ['a vaguely specified concern', 'some situation or event that is thought about', 'that which has mass and occupies space', 'a problem', '(used with negation', 'written works (especially in books or magazines'], 'Verb': ['have weight; have import, carry weight']}","['several matters to attend to', 'it is none of your affair', 'things are going well']","season 1 , The One Where It All Began (Pilot)","Well, it matters to me!","00:06:39,132","00:06:43,159"
hair,مو,"{'Noun': ['a covering for the body (or parts of it', 'as on the human head', 'a very small distance or space', 'filamentous hairlike growth on a plant', 'any of the cylindrical filaments characteristically growing from the epidermis of a mammal', 'cloth woven from horsehair or camelhair; used for upholstery or stiffening in garments', 'a filamentous projection or process on an organism']}","['he combed his hair', 'each hair consists of layers of dead keratinized cells']","season 1 , The One Where It All Began (Pilot)","""If I let go of my hair, my head will fall off.""","00:06:44,771","00:06:50,300"
head,سر,"{'Noun': ['the upper part of the human body or the front part of the body in animals; contains the face and brains', 'a single domestic animal', ""that which is responsible for one's thoughts, feelings, and conscious brain functions; the seat of the faculty of reason"", 'a person who is in charge', 'the front of a military formation or procession', 'the pressure exerted by a fluid', 'the top of something', 'the source of water from which a stream arises', '(grammar', 'the tip of an abscess (where the pus accumulates', 'the length or height based on the size of a human or animal head', 'a dense cluster of flowers or foliage', 'the educator who has executive authority for a school', 'an individual person', 'a user of (usually soft', 'a natural elevation (especially a rocky one that juts out into the sea', 'a rounded compact mass', 'the foam or froth that accumulates at the top when you pour an effervescent liquid into a container', 'the part in the front or nearest the viewer', 'a difficult juncture', 'forward movement', 'a V-shaped mark at one end of an arrow pointer', 'the subject matter at issue', 'a line of text serving to indicate what the passage below it is about', 'the rounded end of a bone that fits into a rounded cavity in another bone to form a joint', 'that part of a skeletal muscle that is away from the bone that it moves', '(computer science', '(usually plural', 'the striking part of a tool', '(nautical', 'a projection out from one end', 'a membrane that is stretched taut over a drum', 'oral stimulation of the genitals'], 'Verb': ['to go or travel towards', 'be in charge of', 'travel in front of; go in advance of others', 'be the first or leading member of (a group', 'direct the course; determine the direction of travelling', 'take its rise', 'be in the front of or on top of', 'form a head or come or grow to a head', 'remove the head of']}",['he stuck his head out the window'],"season 1 , The One Where It All Began (Pilot)","""If I let go of my hair, my head will fall off.""","00:06:44,771","00:06:50,300"
fall,سقوط,"{'Noun': ['the season when the leaves fall from the trees', 'a sudden drop from an upright position', 'the lapse of mankind into sinfulness because of the sin of Adam and Eve', 'a downward slope or bend', 'a lapse into sin; a loss of innocence or of chastity', 'a sudden decline in strength or number or importance', 'a movement downward', 'the act of surrendering (usually under agreed conditions', 'the time of day immediately following sunset', ""when a wrestler's shoulders are forced to the mat"", 'a free and rapid descent by the force of gravity', 'a sudden sharp decrease in some quantity'], 'Verb': ['descend in free fall under the influence of gravity', 'move downward and lower, but not necessarily all the way', 'pass suddenly and passively into a state of body or mind', 'come under, be classified or included', 'fall from clouds', 'suffer defeat, failure, or ruin', 'die, as in battle or in a hunt', 'touch or seem as if touching visually or audibly', 'be captured', 'occur at a specified time or place', 'decrease in size, extent, or range', 'yield to temptation or sin', 'lose office or power', 'to be given by assignment or distribution', 'move in a specified direction', 'be due', ""lose one's chastity"", 'to be given by right or inheritance', 'come into the possession of', 'fall to somebody by assignment or lot', 'be inherited by', 'slope downward', 'lose an upright position suddenly', 'drop oneself to a lower or less erect position', 'fall or flow in a certain way', 'assume a disappointed or sad expression', 'be cast down', 'come out; issue', 'be born, used chiefly of lambs', 'begin vigorously', 'go as if by falling', 'come as if by falling']}",['in the fall of 1973'],"season 1 , The One Where It All Began (Pilot)","""If I let go of my hair, my head will fall off.""","00:06:44,771","00:06:50,300"
wearing,پوشیدن,"{'Noun': ['(geology', 'as by particles washing over it', 'the act of having on your person as a covering or adornment'], 'Verb': ['be dressed in', ""have on one's person"", ""have in one's aspect; wear an expression of one's attitude or personality"", 'deteriorate through use or stress', 'have or show an appearance of', 'last and be usable', 'go to pieces', 'exhaust or get tired through overuse or great strain or stress', ""put clothing on one's body""], 'Adjective': ['producing exhaustion']}",['she bought it for everyday wear'],"season 1 , The One Where It All Began (Pilot)",She should not be wearing those pants.,"00:06:51,310","00:06:54,802"
pants,شلوار,"{'Noun': ['the noise made by a short puff of steam (as from an engine', '(usually in the plural', 'a short labored intake of breath with the mouth open', '(used in the plural'], 'Verb': ['breathe noisily, as when one is exhausted', 'utter while panting, as if out of breath']}",['she was afraid that her bloomers might have been showing'],"season 1 , The One Where It All Began (Pilot)",She should not be wearing those pants.,"00:06:51,310","00:06:54,802"
push,فشار دادن,"{'Noun': ['the act of applying force in order to move something away', 'the force used in pushing', 'enterprising or ambitious drive', 'an electrical switch operated by pressing', 'an effort to advance'], 'Verb': ['move with force', 'press, drive, or impel (someone', 'make publicity for; try to sell (a product', 'strive and make an effort to reach a goal', 'press against forcefully without moving', 'approach a certain age or speed', 'exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a certain cause or person; be an advocate for', 'sell or promote the sale of (illegal goods such as drugs', 'move strenuously and with effort', 'make strenuous pushing movements during birth to expel the baby']}","['he gave the door a hard push', 'the pushing is good exercise']","season 1 , The One Where It All Began (Pilot)",Push her down the stairs!,"00:06:55,014","00:06:56,675"
stairs,پله ها,"{'Noun': ['support consisting of a place to rest the foot while ascending or descending a stairway', 'a flight of stairs or a flight of steps']}",['he paused on the bottom step'],"season 1 , The One Where It All Began (Pilot)",Push her down the stairs!,"00:06:55,014","00:06:56,675"
push,فشار دادن,"{'Noun': ['the act of applying force in order to move something away', 'the force used in pushing', 'enterprising or ambitious drive', 'an electrical switch operated by pressing', 'an effort to advance'], 'Verb': ['move with force', 'press, drive, or impel (someone', 'make publicity for; try to sell (a product', 'strive and make an effort to reach a goal', 'press against forcefully without moving', 'approach a certain age or speed', 'exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a certain cause or person; be an advocate for', 'sell or promote the sale of (illegal goods such as drugs', 'move strenuously and with effort', 'make strenuous pushing movements during birth to expel the baby']}","['he gave the door a hard push', 'the pushing is good exercise']","season 1 , The One Where It All Began (Pilot)",Push her! Push her down the stairs!,"00:06:57,183","00:07:00,050"
push,فشار دادن,"{'Noun': ['the act of applying force in order to move something away', 'the force used in pushing', 'enterprising or ambitious drive', 'an electrical switch operated by pressing', 'an effort to advance'], 'Verb': ['move with force', 'press, drive, or impel (someone', 'make publicity for; try to sell (a product', 'strive and make an effort to reach a goal', 'press against forcefully without moving', 'approach a certain age or speed', 'exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a certain cause or person; be an advocate for', 'sell or promote the sale of (illegal goods such as drugs', 'move strenuously and with effort', 'make strenuous pushing movements during birth to expel the baby']}","['he gave the door a hard push', 'the pushing is good exercise']","season 1 , The One Where It All Began (Pilot)",Push her! Push her down the stairs!,"00:06:57,183","00:07:00,050"
stairs,پله ها,"{'Noun': ['support consisting of a place to rest the foot while ascending or descending a stairway', 'a flight of stairs or a flight of steps']}",['he paused on the bottom step'],"season 1 , The One Where It All Began (Pilot)",Push her! Push her down the stairs!,"00:06:57,183","00:07:00,050"
daddy,بابا,{'Noun': ['an informal term for a father; probably derived from baby talk']},N/A,"season 1 , The One Where It All Began (Pilot)","Come on, Daddy, listen!","00:07:04,323","00:07:06,951"
listen,گوش بده,"{'Verb': ['hear with intention', 'listen and pay attention', 'pay close attention to; give heed to']}",['Listen to the sound of this cello'],"season 1 , The One Where It All Began (Pilot)","Come on, Daddy, listen!","00:07:04,323","00:07:06,951"
life,زندگی,"{'Noun': ['a characteristic state or mode of living', 'the experience of being alive; the course of human events and activities', 'the course of existence of an individual; the actions and events that occur in living', 'the condition of living or the state of being alive', 'the period during which something is functional (as between birth and death', 'the period between birth and the present time', 'the period from the present until death', 'a living person', 'animation and energy in action or expression', 'living things collectively', 'the organic phenomenon that distinguishes living organisms from nonliving ones', ""an account of the series of events making up a person's life"", 'a motive for living', 'a prison term lasting as long as the prisoner lives']}","['social life', 'city life', 'real life']","season 1 , The One Where It All Began (Pilot)","All my life, everyone's always told me, ""You're a shoe!""","00:07:07,560","00:07:11,792"
everyones,همه,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","All my life, everyone's always told me, ""You're a shoe!""","00:07:07,560","00:07:11,792"
told,گفت,"{'Verb': ['express in words', 'let something be known', 'narrate or give a detailed account of', 'give instructions to or direct somebody to do something with authority', 'discern or comprehend', 'inform positively and with certainty and confidence', 'give evidence', 'mark as different']}","['He said that he wanted to marry her', 'tell me what is bothering you', 'state your opinion', 'state your name']","season 1 , The One Where It All Began (Pilot)","All my life, everyone's always told me, ""You're a shoe!""","00:07:07,560","00:07:11,792"
youre,شما هستید,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","All my life, everyone's always told me, ""You're a shoe!""","00:07:07,560","00:07:11,792"
shoe,کفش,"{'Noun': ['footwear shaped to fit the foot (below the ankle', '(card games', ""U-shaped plate nailed to underside of horse's hoof"", ""a restraint provided when the brake linings are moved hydraulically against the brake drum to retard the wheel's rotation""], 'Verb': ['furnish with shoes']}",N/A,"season 1 , The One Where It All Began (Pilot)","All my life, everyone's always told me, ""You're a shoe!""","00:07:07,560","00:07:11,792"
youre,شما هستید,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","""You're a shoe!""","00:07:11,998","00:07:14,432"
shoe,کفش,"{'Noun': ['footwear shaped to fit the foot (below the ankle', '(card games', ""U-shaped plate nailed to underside of horse's hoof"", ""a restraint provided when the brake linings are moved hydraulically against the brake drum to retard the wheel's rotation""], 'Verb': ['furnish with shoes']}",N/A,"season 1 , The One Where It All Began (Pilot)","""You're a shoe!""","00:07:11,998","00:07:14,432"
dont,نکن,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",What if I don't want to be a shoe?,"00:07:14,600","00:07:17,626"
want,خواستن,"{'Noun': ['a state of extreme poverty', 'the state of needing something that is absent or unavailable', 'anything that is necessary but lacking', 'a specific feeling of desire'], 'Verb': ['feel or have a desire for; want strongly', 'have need of', 'hunt or look for; want for a particular reason', 'wish or demand the presence of', 'be without, lack; be deficient in']}","['there is a serious lack of insight into the problem', 'water is the critical deficiency in desert regions', 'for want of a nail the shoe was lost']","season 1 , The One Where It All Began (Pilot)",What if I don't want to be a shoe?,"00:07:14,600","00:07:17,626"
shoe,کفش,"{'Noun': ['footwear shaped to fit the foot (below the ankle', '(card games', ""U-shaped plate nailed to underside of horse's hoof"", ""a restraint provided when the brake linings are moved hydraulically against the brake drum to retard the wheel's rotation""], 'Verb': ['furnish with shoes']}",N/A,"season 1 , The One Where It All Began (Pilot)",What if I don't want to be a shoe?,"00:07:14,600","00:07:17,626"
want,خواستن,"{'Noun': ['a state of extreme poverty', 'the state of needing something that is absent or unavailable', 'anything that is necessary but lacking', 'a specific feeling of desire'], 'Verb': ['feel or have a desire for; want strongly', 'have need of', 'hunt or look for; want for a particular reason', 'wish or demand the presence of', 'be without, lack; be deficient in']}","['there is a serious lack of insight into the problem', 'water is the critical deficiency in desert regions', 'for want of a nail the shoe was lost']","season 1 , The One Where It All Began (Pilot)",What if I want to be a purse?,"00:07:17,870","00:07:20,896"
purse,کیف پول,"{'Noun': ['a container used for carrying money and small personal items or accessories (especially by women', 'a sum of money spoken of as the contents of a money purse', 'a small bag for carrying money', 'a sum of money offered as a prize'], 'Verb': [""contract one's lips into a rounded shape"", 'gather or contract into wrinkles or folds; pucker']}",['she reached into her bag and found a comb'],"season 1 , The One Where It All Began (Pilot)",What if I want to be a purse?,"00:07:17,870","00:07:20,896"
hat,کلاه,"{'Noun': ['headdress that protects the head from bad weather; has shaped crown and usually a brim', ""an informal term for a person's role""], 'Verb': ['put on or wear a hat', 'furnish with a hat']}","[""he took off his politician's hat and talked frankly""]","season 1 , The One Where It All Began (Pilot)",Or a hat?,"00:07:21,107","00:07:23,735"
dont,نکن,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","No, I don't want you to buy me a hat!","00:07:24,076","00:07:26,476"
want,خواستن,"{'Noun': ['a state of extreme poverty', 'the state of needing something that is absent or unavailable', 'anything that is necessary but lacking', 'a specific feeling of desire'], 'Verb': ['feel or have a desire for; want strongly', 'have need of', 'hunt or look for; want for a particular reason', 'wish or demand the presence of', 'be without, lack; be deficient in']}","['there is a serious lack of insight into the problem', 'water is the critical deficiency in desert regions', 'for want of a nail the shoe was lost']","season 1 , The One Where It All Began (Pilot)","No, I don't want you to buy me a hat!","00:07:24,076","00:07:26,476"
buy,خرید,"{'Noun': ['an advantageous purchase'], 'Verb': ['obtain by purchase; acquire by means of a financial transaction', 'make illegal payments to in exchange for favors or influence', 'be worth or be capable of buying', 'acquire by trade or sacrifice or exchange', 'accept as true']}","['she got a bargain at the auction', 'the stock was a real buy at that price']","season 1 , The One Where It All Began (Pilot)","No, I don't want you to buy me a hat!","00:07:24,076","00:07:26,476"
hat,کلاه,"{'Noun': ['headdress that protects the head from bad weather; has shaped crown and usually a brim', ""an informal term for a person's role""], 'Verb': ['put on or wear a hat', 'furnish with a hat']}","[""he took off his politician's hat and talked frankly""]","season 1 , The One Where It All Began (Pilot)","No, I don't want you to buy me a hat!","00:07:24,076","00:07:26,476"
metaphor,استعاره,{'Noun': ['a figure of speech in which an expression is used to refer to something that it does not literally denote in order to suggest a similarity']},N/A,"season 1 , The One Where It All Began (Pilot)","It's a metaphor, Daddy!","00:07:26,712","00:07:29,977"
daddy,بابا,{'Noun': ['an informal term for a father; probably derived from baby talk']},N/A,"season 1 , The One Where It All Began (Pilot)","It's a metaphor, Daddy!","00:07:26,712","00:07:29,977"
hed,هد,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",You can see where he'd have trouble.,"00:07:30,616","00:07:34,074"
trouble,مشکل,"{'Noun': ['a source of difficulty', 'an angry disturbance', 'an event causing distress or pain', 'an effort that is inconvenient', 'a strong feeling of anxiety', 'an unwanted pregnancy'], 'Verb': ['move deeply', 'to cause inconvenience or discomfort to', 'disturb in mind or make uneasy or cause to be worried or alarmed', 'take the trouble to do something; concern oneself', 'cause bodily suffering to and make sick or indisposed']}","['one trouble after another delayed the job', ""what's the problem?""]","season 1 , The One Where It All Began (Pilot)",You can see where he'd have trouble.,"00:07:30,616","00:07:34,074"
look,نگاه کن,"{'Noun': [""the feelings expressed on a person's face"", 'the act of directing the eyes toward something and perceiving it visually', 'physical appearance', 'the general atmosphere of a place or situation and the effect that it has on people'], 'Verb': [""perceive with attention; direct one's gaze towards"", 'give a certain impression or have a certain outward aspect', 'have a certain outward or facial expression', 'search or seek', 'be oriented in a certain direction, often with respect to another reference point; be opposite to', 'take charge of or deal with', ""convey by one's expression"", 'look forward to the probable occurrence of', 'accord in appearance with', 'have faith or confidence in']}","['a sad expression', 'a look of triumph', 'an angry face']","season 1 , The One Where It All Began (Pilot)","Look, Daddy, it's my life.","00:07:35,922","00:07:37,719"
daddy,بابا,{'Noun': ['an informal term for a father; probably derived from baby talk']},N/A,"season 1 , The One Where It All Began (Pilot)","Look, Daddy, it's my life.","00:07:35,922","00:07:37,719"
life,زندگی,"{'Noun': ['a characteristic state or mode of living', 'the experience of being alive; the course of human events and activities', 'the course of existence of an individual; the actions and events that occur in living', 'the condition of living or the state of being alive', 'the period during which something is functional (as between birth and death', 'the period between birth and the present time', 'the period from the present until death', 'a living person', 'animation and energy in action or expression', 'living things collectively', 'the organic phenomenon that distinguishes living organisms from nonliving ones', ""an account of the series of events making up a person's life"", 'a motive for living', 'a prison term lasting as long as the prisoner lives']}","['social life', 'city life', 'real life']","season 1 , The One Where It All Began (Pilot)","Look, Daddy, it's my life.","00:07:35,922","00:07:37,719"
maybe,شاید,{'Adverb': ['by chance']},"['perhaps she will call tomorrow', 'we may possibly run into them at the concert', 'it may peradventure be thought that there never was such a time']","season 1 , The One Where It All Began (Pilot)","Well, maybe I'll just stay here with Monica.","00:07:39,058","00:07:42,653"
ill,بیمار,"{'Noun': ['an often persistent bodily disorder or disease; a cause for complaining'], 'Adjective': ['affected by an impairment of normal physical or mental function', 'resulting in suffering or adversity', 'distressing', 'indicating hostility or enmity', 'presaging ill fortune'], 'Adverb': [""(`ill' is often used as a combining form"", 'unfavorably or with disapproval', 'with difficulty or inconvenience; scarcely or hardly']}",['ill from the monotony of his suffering'],"season 1 , The One Where It All Began (Pilot)","Well, maybe I'll just stay here with Monica.","00:07:39,058","00:07:42,653"
stay,اقامت کردن,"{'Noun': ['continuing or remaining in a place or state', 'the state of inactivity following an interruption', 'a judicial order forbidding some action until an event occurs or the order is lifted', 'a thin strip of metal or bone that is used to stiffen a garment (e.g. a corset', '(nautical'], 'Verb': ['stay the same; remain in a certain state', 'stay put (in a certain place', 'continue in a place, position, or situation', 'remain behind', 'stop or halt', 'stay behind', 'hang on during a trial of endurance', 'stop a judicial process', 'fasten with stays', 'overcome or allay']}","['they had a nice stay in Paris', 'a lengthy hospital stay', 'a four-month stay in bankruptcy court']","season 1 , The One Where It All Began (Pilot)","Well, maybe I'll just stay here with Monica.","00:07:39,058","00:07:42,653"
guess,حدس بزن,"{'Noun': ['a message expressing an opinion based on incomplete evidence', 'an estimate based on little or no information'], 'Verb': ['expect, believe, or suppose', 'put forward, of a guess, in spite of possible refutation', 'judge tentatively or form an estimate of (quantities or time', 'guess correctly; solve by guessing']}",N/A,"season 1 , The One Where It All Began (Pilot)",I guess we've established she's staying with Monica.,"00:07:44,764","00:07:48,097"
weve,می زنیم,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",I guess we've established she's staying with Monica.,"00:07:44,764","00:07:48,097"
established,ایجاد,"{'Verb': ['set up or found', 'set up or lay the groundwork for', 'establish the validity of something, as by an example, explanation or experiment', 'institute, enact, or establish', 'bring about', 'build or establish something abstract', 'use as a basis for; found on'], 'Adjective': ['brought about or set up or accepted; especially long established', 'settled securely and unconditionally', 'conforming with accepted standards', 'shown to be valid beyond a reasonable doubt', 'introduced from another region and persisting without cultivation']}",['She set up a literacy program'],"season 1 , The One Where It All Began (Pilot)",I guess we've established she's staying with Monica.,"00:07:44,764","00:07:48,097"
shes,او,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",I guess we've established she's staying with Monica.,"00:07:44,764","00:07:48,097"
staying,ماندن,"{'Verb': ['stay the same; remain in a certain state', 'stay put (in a certain place', 'continue in a place, position, or situation', 'remain behind', 'stop or halt', 'stay behind', 'hang on during a trial of endurance', 'stop a judicial process', 'fasten with stays', 'overcome or allay']}","['The dress remained wet after repeated attempts to dry it', 'rest assured', 'stay alone', 'He remained unmoved by her tears', 'The bad weather continued for another week']","season 1 , The One Where It All Began (Pilot)",I guess we've established she's staying with Monica.,"00:07:44,764","00:07:48,097"
maybe,شاید,{'Adverb': ['by chance']},"['perhaps she will call tomorrow', 'we may possibly run into them at the concert', 'it may peradventure be thought that there never was such a time']","season 1 , The One Where It All Began (Pilot)","Well, maybe that's my decision.","00:07:48,634","00:07:51,899"
thats,یعنی,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","Well, maybe that's my decision.","00:07:48,634","00:07:51,899"
decision,تصمیم گیری,"{'Noun': ['the act of making up your mind about something', 'a position or opinion or judgment reached after consideration', '(boxing', 'the outcome of a game or contest', 'the trait of resoluteness as evidenced by firmness of character or purpose']}","['the burden of decision was his', 'he drew his conclusions quickly']","season 1 , The One Where It All Began (Pilot)","Well, maybe that's my decision.","00:07:48,634","00:07:51,899"
maybe,شاید,{'Adverb': ['by chance']},"['perhaps she will call tomorrow', 'we may possibly run into them at the concert', 'it may peradventure be thought that there never was such a time']","season 1 , The One Where It All Began (Pilot)",Maybe I don't need your money.,"00:07:52,104","00:07:54,299"
dont,نکن,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",Maybe I don't need your money.,"00:07:52,104","00:07:54,299"
money,پول,"{'Noun': ['the most common medium of exchange; functions as legal tender', 'wealth reckoned in terms of money', 'the official currency issued by a government or national bank']}",['we tried to collect the money he owed us'],"season 1 , The One Where It All Began (Pilot)",Maybe I don't need your money.,"00:07:52,104","00:07:54,299"
wait,صبر کن,"{'Noun': ['time during which some action is awaited', 'the act of waiting (remaining inactive in one place while expecting something'], 'Verb': ['stay in one place and anticipate or expect something', 'wait before acting', 'look forward to the probable occurrence of', 'serve as a waiter or waitress in a restaurant']}","['instant replay caused too long a delay', 'he ordered a hold in the action']","season 1 , The One Where It All Began (Pilot)",Wait! I said maybe!,"00:07:54,874","00:07:57,707"
said,گفت,"{'Verb': ['express in words', 'report or maintain', 'express a supposition', 'have or contain a certain wording or form', 'give instructions to or direct somebody to do something with authority', 'speak, pronounce, or utter in a certain way', 'communicate or express nonverbally', 'utter aloud', ""state as one's opinion or judgement; declare"", 'recite or repeat a fixed text', 'indicate'], 'Adjective': ['being the one previously mentioned or spoken of']}","['He said that he wanted to marry her', 'tell me what is bothering you', 'state your opinion', 'state your name']","season 1 , The One Where It All Began (Pilot)",Wait! I said maybe!,"00:07:54,874","00:07:57,707"
maybe,شاید,{'Adverb': ['by chance']},"['perhaps she will call tomorrow', 'we may possibly run into them at the concert', 'it may peradventure be thought that there never was such a time']","season 1 , The One Where It All Began (Pilot)",Wait! I said maybe!,"00:07:54,874","00:07:57,707"
